Year,Month,S_RUBW,S_BDIR,S_HBSIR,S_FSI,S_Offen,C_RUBW,C_BDIR,C_HBSIR,C_FSI,C_Offen
2013,Jan,130,8,3,0,2,134,1,4,0,0
2013,Feb,154,2,3,0,8,106,0,1,0,0
2013,Mar,192,0,8,0,1,173,4,4,0,1
2013,Apr,198,3,30,0,0,248,3,3,1,0
2013,May,179,3,7,0,5,202,2,6,4,0
2013,Jun,166,0,4,0,0,206,1,17,0,5
2013,Jul,208,1,20,0,0,100,2,4,0,0
2013,Aug,143,1,0,0,0,138,0,1,0,0
2013,Sep,263,0,3,0,0,136,1,14,0,0
2013,Oct,298,1,4,0,2,169,1,0,0,0
2013,Nov,303,1,0,2,0,158,0,0,0,3
2013,Dec,279,1,9,0,0,214,2,0,0,0
2014,Jan,109,5,0,15,0,180,1,0,2,0
2014,Feb,156,3,0,0,0,146,2,0,0,0
2014,Mar,131,0,0,2,4,182,0,1,15,1
2014,Apr,25,2,0,0,0,26,3,0,0,0
2014,May,46,0,0,0,0,112,0,0,0,0
2014,Jun,93,0,0,0,1,54,0,0,0,0
2014,Jul,134,4,0,0,0,114,1,0,0,0
2014,Aug,195,0,1,2,0,100,0,0,2,1
2014,Sep,291,0,0,9,0,103,2,1,0,0
2014,Oct,419,0,0,3,0,137,1,0,2,0
2014,Nov,445,2,0,0,0,227,0,0,0,0
2014,Dec,487,1,0,0,6,220,0,0,1,0
2015,Jan,77,5,0,0,0,177,0,0,1,0
2015,Feb,193,2,0,0,1,201,0,0,0,0
2015,Mar,267,2,3,4,0,212,0,0,0,0
2015,Apr,197,8,4,38,3,187,1,3,3,0
2015,May,240,4,0,0,1,192,1,1,0,5
2015,Jun,360,3,0,7,5,157,1,0,17,3
2015,Jul,324,11,0,0,3,188,6,0,4,2
2015,Aug,303,3,6,0,1,147,1,2,1,4
2015,Sep,438,4,2,0,5,191,1,0,2,0
2015,Oct,242,1,0,0,0,265,2,0,1,1
2015,Nov,238,3,0,16,0,202,7,7,0,1
2015,Dec,151,0,4,11,6,307,3,1,0,0
2016,Jan,131,1,2,17,0,168,3,0,1,0
2016,Feb,194,0,0,4,2,144,0,1,10,0
2016,Mar,230,6,0,0,0,125,1,2,8,0
2016,Apr,246,2,0,0,0,157,2,0,5,0
2016,May,241,0,0,11,0,209,2,1,3,0
2016,Jun,229,7,0,0,0,184,2,0,5,0
2016,Jul,199,6,0,12,2,175,1,0,7,2
2016,Aug,229,0,0,1,3,178,2,0,8,0
2016,Sep,429,17,0,8,0,179,10,0,1,2
2016,Oct,472,2,0,0,0,168,1,0,2,0
2016,Nov,466,3,1,0,0,245,8,0,6,0
2016,Dec,296,3,3,7,0,233,1,0,3,0
2017,Jan,120,5,0,1,0,211,3,1,2,0
2017,Feb,131,6,0,3,0,155,3,0,4,0
2017,Mar,210,9,5,5,0,193,5,0,0,0
2017,Apr,205,1,0,1,0,190,3,0,6,0
2017,May,280,5,0,1,4,176,4,5,1,0
2017,Jun,347,7,3,7,8,177,4,0,0,0
2017,Jul,320,3,1,0,2,158,3,4,1,0
2017,Aug,351,6,0,3,0,184,0,2,2,0
